20200401,23
20200402,29
20200403,34
20200404,40
20200405,42
20200406,44
20200407,49
20200408,51
20200409,54
20200410,56
20200411,58
20200412,63
20200413,72
20200414,76
20200415,80
20200416,83
20200417,92
20200418,94
20200419,97
20200420,101
20200421,102
20200422,102
20200423,103
20200424,104
20200425,109
20200426,109
20200427,115
20200428,115
20200429,115
20200430,121
20200501,123
20200502,126
20200503,128
20200504,129
20200505,130
20200506,131
20200507,135
20200508,135
20200509,135
20200510,136
20200511,162
20200512,162
20200513,163
20200514,163
20200515,163
20200516,163
20200517,163
20200518,163
20200519,163
20200520,163
20200521,164
20200522,164
20200523,164
20200524,164
20200525,164
20200526,165
20200527,165
20200528,165
20200529,166
20200530,166
20200531,166
20200601,166
20200602,167
20200603,168
20200604,169
20200605,170
20200606,170
20200607,170
20200608,171
20200609,172
20200610,172
20200611,172
20200612,172
20200613,172
20200614,172
20200615,173
20200616,173
20200617,173
20200618,175
20200619,175
20200620,176
20200621,176
20200622,176
20200623,178
20200624,179
20200625,179
20200626,179
20200627,179
20200628,180
20200629,180
20200630,180
20200701,183
20200702,184
20200703,185
20200704,187
20200705,188
20200706,189
20200707,190
20200708,191
20200709,194
20200710,197
20200711,201
20200712,205
20200713,211
20200714,213
20200715,218
20200716,221
20200717,223
20200718,233
20200719,238
20200720,245
20200721,249
20200722,263
20200723,275
20200724,288
20200725,296
20200726,307
20200727,314
20200728,327
20200729,334
20200730,345
20200731,361
20200801,384
20200802,396
20200803,411
20200804,427
20200805,437
20200806,450
20200807,471
20200808,486
20200809,496
20200810,508
20200811,519
20200812,524
20200813,530
20200814,543
20200815,556
20200816,565
20200817,569
20200818,571
20200819,573
20200820,587
20200821,601
20200822,614
20200823,619
20200824,627
20200825,636
20200826,638
20200827,644
20200828,650
20200829,662
20200830,666
20200831,670
20200901,677
20200902,683
20200903,685
20200904,688
20200905,692
20200906,695
20200907,698
20200908,703
20200909,710
20200910,716
20200911,722
20200912,729
20200913,734
20200914,735
20200915,741
20200916,746
20200917,750
20200918,755
20200919,767
20200920,775
20200921,784
20200922,786
20200923,786
20200924,796
20200925,800
20200926,807
20200927,812
20200928,817
20200929,822
20200930,829
20201001,836
20201002,841
20201003,844
20201004,847
20201005,852
20201006,858
20201007,865
20201008,879
20201009,890
20201010,898
20201012,905
20201013,908
20201014,915
20201015,922
20201016,925
20201017,933
20201018,934
20201019,936
20201020,939
20201021,941
20201022,944
20201023,945
20201024,949
20201025,950
20201026,954
20201027,956
20201028,957
20201029,962
20201030,966
20201031,972
20201101,973
20201102,977
20201103,981
